CAR_NAME,MODEL,NO_OF_YEARS,DEALER,MILES_DRIVEN,RATE,NO_OF_REVIEWS,PRICE
Audi Q5 2.0T Premium Plus,2018,3,The Audi Exchange,31214,4.5,15,37787
Audi A5 2.0T Premium Plus,2014,7,Napleton River Oaks Honda,67796,4.5,1943,19500
Audi Q7 3.0T Premium Plus,2017,4,Haus of Imports,97074,4.7,1943,30995
Audi S5 3.0T Premium Plus,2019,2,Napleton's Arlington Heights Chrysler Dodge Jeep RAM,9956,4.8,799,52999
Audi A4 2.0T Premium Plus,2018,3,Bill Kay Chevrolet,52518,4.3,845,34498
Audi S4 3.0T Premium Plus,2019,2,Volvo Cars Lisle,5240,4.6,1943,50307
Audi Q3 2.0T Premium,2017,4,Arlington Nissan,71254,4.4,496,23899
Audi Q5 45 Premium,2019,1,Schaumburg Honda Automobiles,37611,4.2,116,39400
Audi Q7 3.0T Prestige,2018,3,Bob Rohrman's Schaumburg Lincoln,42842,4.2,55,48490
Audi S3 2.0T Premium Plus,2015,6,Lux Cars Chicago,79248,4.2,116,28945
Audi Q7 3.0T Premium Plus,2015,6,Auto Showcase of Carol Stream,47085,4.2,55,31995
Audi S3 2.0T Premium Plus,2016,5,Lux Cars Chicago,70747,4.8,1062,30944
Audi Q5 2.0T Premium Plus,2018,3,South Suburban Mitsubishi,30508,4.7,1869,38995
Audi Q5 2.0T Premium Plus,2014,7,Car City Inc,95427,4.8,870,18990
Audi SQ5 3.0T Premium Plus,2018,3,INFINITI of Hoffman Estates,42030,4.8,870,46952
Audi Q5 2.0T Premium Plus,2018,3,Audi Naperville,46138,4.8,870,38991
Audi Q5 2.0T Tech Premium,2018,3,Audi Naperville,54020,4.7,1869,35991
Audi Q7 3.0T Prestige,2018,3,Audi Naperville,62747,4.8,870,47991
Audi S5 3.0T Prestige,2018,3,INFINITI of Hoffman Estates,29622,4.7,1943,49351
Audi Q5 2.0T Premium Plus,2018,3,Audi Naperville,25513,4.6,111,40991
Audi Q7 3.0T Premium Plus,2018,3,Audi Hoffman Estates,45158,4.7,410,44880
Audi A4 2.0T Premium Plus,2019,2,Napleton Mazda of Naperville,28154,4.7,1943,34887
Audi Q3 2.0T Premium Plus,2018,3,Mercedes-Benz of Naperville,52960,4.7,1943,27750
Audi A6 3.0T Prestige,2019,2,Audi Hoffman Estates,9624,4.7,1943,52999
Audi SQ5 3.0T Premium Plus,2018,3,Audi Hoffman Estates,38695,4.7,1943,47880
Audi Q5 2.0T Premium Plus,2018,3,Audi Hoffman Estates,41698,4.7,1943,35980
Audi A4 2.0T Tech Premium,2018,3,Audi Hoffman Estates,43648,4.7,636,32980
Audi S4 3.0T Premium Plus,2019,2,Audi Hoffman Estates,28089,4.7,636,50980
Audi A4 2.0T Premium Plus quattro,2012,9,Conway Imports,97074,4.7,636,9495
Audi A8 L 4.0T,2013,8,Conway Imports,97074,4.7,636,22995
Audi A8 L 4.0T,2013,8,Conway Imports,76466,4.8,654,27995
Audi A3 1.8T Premium,2016,5,Conway Imports,97074,4.8,1048,15995
Audi Q7 3.0T Prestige,2018,3,The Audi Exchange,37048,4.8,1048,51787
Audi SQ5 3.0T Premium,2019,2,Fletcher Jones Audi,12454,4.8,1048,52999
Audi S4 3.0T Premium,2019,2,Fletcher Jones Audi,27355,4.4,576,52999
Audi A4 2.0T Premium Plus,2018,3,Fletcher Jones Audi,29627,4.8,1048,32500
Audi A5 2.0T Premium,2019,2,Perillo BMW,58615,4.7,159,35888
Audi SQ5 3.0T Premium,2019,1,Fletcher Jones Audi,8451,4.7,159,52999
Audi Q8 3.0T Premium,2019,2,"Howard Orloff Jaguar, Volvo Cars, Land Rover",17000,4.5,828,52999
Audi Q5 2.0T Premium Plus,2018,3,"Howard Orloff Jaguar, Volvo Cars, Land Rover",31750,4.6,528,36988
Audi Q5 2.0T Premium Plus,2016,5,The Autobarn Nissan of Evanston,82190,4.1,1943,21993
Audi A5 2.0T Premium Plus,2018,3,Al Piemonte Ford,12681,4.8,1943,39500
Audi A4 2.0T Tech Premium,2018,3,Sherman Dodge Chrysler Jeep RAM,30600,4.2,361,28782
Audi SQ5 3.0T Premium,2019,1,Martin Nissan,10321,4.2,361,52999
Audi Q5 2.0T Premium Plus,2018,3,Audi Morton Grove,43933,4.2,361,34559
Audi e-tron Prestige,2019,2,Audi Morton Grove,6634,4.2,361,52999
Audi Q3 45 S line Premium,2019,1,Audi Morton Grove,11169,4.2,361,37999
Audi Q5 2.0T Premium Plus,2019,2,Audi Morton Grove,3005,4.2,361,44999
Audi A5 2.0T Premium Plus,2018,3,Audi Morton Grove,33089,4.2,361,34890
Audi e-tron Prestige,2019,2,Audi Morton Grove,4177,4.2,361,52999
Audi Q8 3.0T Premium,2019,2,Audi Morton Grove,18606,4.2,361,52999
Audi Q8 55 Premium,2019,1,Audi Morton Grove,6306,4.2,361,52999
Audi SQ5 3.0T Premium Plus,2018,3,Audi Morton Grove,31468,4.2,361,46599
Audi Q7 2.0T Premium Plus,2018,3,Audi Morton Grove,40301,4.2,361,42999
Audi A5 2.0T Premium Plus,2018,3,Audi Morton Grove,59399,4.2,361,34599
Audi Q5 2.0T Premium Plus,2019,2,Audi Morton Grove,17945,4.2,361,41999
Audi A4 2.0T Premium Plus,2019,2,Audi Morton Grove,35340,4.2,361,35999
Audi Q8 55 Premium,2019,1,Audi Morton Grove,9159,4.2,361,52999
Audi RS 5 2.9T,2018,3,Audi Morton Grove,22085,4.2,361,52999
Audi A4 2.0T Premium Plus,2018,3,Audi Morton Grove,29093,4.2,361,34499
Audi Q5 2.0T Premium Plus,2019,2,Audi Morton Grove,19008,4.2,361,43995
Audi Q7 55 Premium Plus,2019,2,Audi Morton Grove,19769,4.2,361,52999
Audi SQ7 4.0T Premium Plus,2019,1,Audi Morton Grove,3805,4.2,361,52999
Audi Q8 55 Premium,2019,1,Audi Morton Grove,1013,4.6,1943,52999
Audi Q5 45 Premium,2019,1,Audi Morton Grove,9434,4.2,361,43999
Audi Q7 2.0T Premium Plus,2018,3,Advantage Chevrolet,76376,4.2,361,34289
Audi A3 2.0T Premium,2017,4,S&M Auto Sales,97074,4.7,151,19988
Audi A8 L 4.0T,2013,8,S&M Auto Sales,73416,4.8,3,27988
Audi A5 2.0T Premium Plus,2018,3,SJL Motors,8449,4.8,1943,39885
Audi RS 5 2.9T,2018,3,Chicago Auto Place,23029,4.8,1943,52999
Audi SQ5 3.0T Premium Plus,2018,3,Grand Subaru,56382,4.6,638,41997
Audi Q5 2.0T Prestige,2019,2,Grand Subaru,13826,4.8,1564,44955
Audi Q5 2.0T Premium Plus,2016,5,McGrath Acura in Morton Grove,78326,4.6,322,23999
Audi Q5 2.0T Premium,2012,9,INFINITI of Clarendon Hills,71228,4.7,603,18555
Audi Q7 3.0T Premium,2017,4,Highline Auto Sales,75934,4.7,1236,34995
Audi e-tron Prestige,2019,2,Audi Westmont,9566,4.7,603,52999
Audi A6 55 Premium Plus,2019,1,Laurel BMW of Westmont,14046,4.7,603,52999
Audi A7 3.0T Prestige,2017,4,Audi Westmont,97074,4.8,153,33997
Audi A3 1.8T Premium,2015,6,Auto Gallery Chicago,50223,4.8,1090,25990
Audi Q5 2.0T Premium Plus,2016,5,"Steve Foley Cadillac, Rolls-Royce, Bentley Northbrook",71107,4.4,355,23499
Audi Q5 2.0T Premium Plus,2013,8,Heritage Cadillac,97074,4.5,60,15118
Audi A8 L 4.0T Sport,2017,4,Advantage Toyota of River Oaks,42967,4.7,1045,48773
Audi A5 2.0T Premium Plus,2018,3,Lombard Toyota,41972,4.8,4,38995
Audi A3 2.0 TDI Premium Plus,2011,10,US Motors Inc,97074,4.3,6,10995
Audi S5 4.2 quattro,2009,12,Xchange Motors,96411,4.7,693,19985
Audi Q8 3.0T Premium Plus,2019,2,Napleton Aston Martin Maserati,30809,4.3,186,52999
Audi A4 2.0T Premium Plus quattro,2010,11,Auto House Motors,96841,4.6,634,10990
Audi Q7 3.0T Premium Plus,2014,7,Star Motor Sales,84083,4.8,654,21899
Audi RS 7 4.0T Prestige,2015,6,Greater Chicago Motors,26875,4.8,654,52999
Audi S3 2.0T Premium Plus,2017,4,The Audi Exchange,73315,4.8,654,28587
Audi Q8 55 Premium,2019,0,The Audi Exchange,7502,4.8,654,52999
Audi Q7 3.0T Prestige,2018,3,The Audi Exchange,25887,4.8,654,52999
Audi A4 2.0T Premium Plus,2018,3,The Audi Exchange,39419,4.5,1943,33987
Audi TT RS 2.5,2013,8,The Audi Exchange,43791,4.3,6,44987
Audi A7 3.0T Prestige,2019,2,Napleton's Arlington Heights Chrysler Dodge Jeep RAM,17297,4.6,52,52999
Audi Q7 3.0T Premium Plus,2018,3,Napleton Off Lease,16648,4.6,52,47900
Audi Q5 2.0T Premium,2012,9,CarMax Schaumburg - Now offering Curbside Pickup,42500,4.6,1074,24998
Audi A4 2.0T Premium Plus,2015,6,Jaguar Land Rover Schaumburg,59156,4.8,1062,20959
Audi SQ5 3.0T Premium Plus,2017,4,Zeigler Fiat Maserati Alfa Romeo of Schaumburg,74668,4.6,1161,33459
Audi S5 3.0T Prestige,2015,6,Arlington Acura in Palatine,78084,4.3,44,31985
Audi TT 2.0T,2008,13,Car City Inc,73192,4.7,1869,14500
Audi A8 L 55,2019,2,Zeigler Fiat Maserati Alfa Romeo of Schaumburg,23406,4.8,870,52999
Audi Q8 3.0T Premium Plus,2019,2,INFINITI of Hoffman Estates,33174,4.8,1943,52999
Audi RS 5 2.9T,2019,2,Audi Naperville,12817,4.5,595,52999
Audi S4 3.0T Premium Plus,2019,2,Chevrolet of Naperville,39581,4.7,1943,44495
Audi A4 2.0T Premium Plus,2019,2,Bill Jacobs VW,36559,4.6,111,34700
Audi A4 2.0T Premium Plus,2018,3,Audi Hoffman Estates,32084,4.7,1943,35880
Audi A6 2.0T Premium Plus,2018,3,Napleton Mazda of Naperville,36706,4.7,1943,33700
Audi Q5 45 Premium Plus,2019,1,Audi Hoffman Estates,19656,4.7,1943,49980
Audi Q7 2.0T Premium Plus,2018,3,Audi Hoffman Estates,18709,4.7,1943,48880
Audi A4 2.0T Premium Plus,2018,3,Audi Hoffman Estates,21434,4.7,1943,35880
Audi A6 45 Premium,2019,2,Audi Hoffman Estates,23788,4.7,1943,49880
Audi Q3 45 S line Premium,2019,0,Audi Hoffman Estates,4726,4.7,1943,42880
Audi Q7 55 Prestige,2019,0,Audi Hoffman Estates,20625,4.7,1943,52999
Audi Q5 45 Premium,2019,0,Audi Hoffman Estates,6016,4.8,1943,52990
Audi Q5 2.0T Prestige,2019,2,Audi Hoffman Estates,20428,4.7,14,48880
