CAR_NAME,MODEL,NO_OF_YEARS,DEALER,MILES_DRIVEN,RATE,NO_OF_REVIEWS,PRICE
Audi A3 2.0T Premium,2018,3,Napleton Autowerks Schererville,37344,4.5,24,28977
Audi Q5 2.0T Premium,2012,9,Conway Imports,97074,4.3,1943,15495
Audi RS Q8 4.0T quattro,2019,0,Chicago Motor Cars,349,4.6,528,52999
Audi A5 2.0T Prestige quattro,2010,11,Conway Imports,81932,4.8,495,16495
Audi A4 2.0T Premium,2015,6,Shaver Preferred Motors,59376,4.2,361,23999
Audi S3 2.0T Premium Plus,2017,4,The Audi Exchange,73315,4.4,234,28587
Audi Q3 40 Premium,2019,0,McGrath Lexus Chicago,2625,4.2,361,38499
Audi S3 2.0T Prestige,2016,5,The Autobarn Volvo Cars of Oak Park,42630,4.4,234,31994
Audi A4 2.0T Avant quattro Premium,2010,11,Moto Zone Inc.,92432,4.8,173,9995
Audi A6 3.0T Prestige,2016,5,Carvana-Touchless Delivery To Your Home,72976,4.8,173,27590
Audi A3 2.0T Premium,2018,3,Al Piemonte Ford,42944,4.7,59,26900
Audi A7 3.0T Premium Plus quattro,2014,7,iCars Chicago,59945,4.8,68,32588
Audi A5 2.0T Sport,2017,4,Audi Morton Grove,57508,4.8,2,26720
Audi allroad 2.0T Premium Plus quattro,2013,8,Midway Autohaus,77664,4.8,150,19591
Audi Q3 2.0T Prestige,2015,6,Midway Autohaus,97074,4.8,1529,15993
Audi A4 2.0T quattro,2008,13,TRED (Private Seller) Chicago,97074,4.8,150,5039
Audi Q7 3.0T Premium Plus,2017,4,Titan Auto Sales,97074,4.5,67,27299
Audi Q7 3.0T S line Prestige,2013,8,Titan Auto Sales,70130,4.5,67,22825
Audi A8 quattro,2008,13,My Choice Motors of Elmhurst,97074,4.1,60,9999
Audi Q7 3.0T Prestige,2017,4,Motorcars Express,44300,4.1,60,40991
Audi A4 2.0T Premium Plus quattro,2009,12,Nice Rides LLC,97074,4.7,603,9475
Audi A4 2.0T Premium quattro,2012,9,Elite Car Outlet,97074,4.7,603,10499
Audi A4 40 Prestige,2019,1,Glenview Luxury Imports,3620,4.3,138,49970
Audi A6 3.0T Premium quattro,2013,8,Chicago Auto Place,90621,4.3,138,21888
Audi S3 2.0T Premium Plus,2015,6,Jennings Chevy / VW,70202,4.5,55,25988
Audi Q7 3.0T Premium Plus,2017,4,Glenview Luxury Imports,48014,4.7,1045,40999
Audi A6 2.0T Premium,2012,9,Adam Auto Group,96607,4.5,55,15450
Audi Q7 3.0T S line Prestige,2014,7,Adam Auto Group,97074,4.8,4,21995
Audi A5 2.0T Premium Plus quattro,2012,9,Coda Motors,97074,4.3,6,13980
Audi A5 2.0T Prestige,2018,3,Audi Westmont,49968,4.6,634,40450
Audi A6 3.0T Prestige quattro,2014,7,Ultimo Motors East,90844,4.5,15,20900
Audi S8 4.0T Plus,2017,4,Ultimo Motors East,51875,4.6,634,52999
Audi A7 3.0T Prestige quattro,2013,8,United Auto Exchange,97074,4.5,15,24895
Audi Q3 2.0T Premium,2018,3,Lombard Toyota,37632,4.5,15,29995
Audi Q3 2.0T Prestige,2015,6,United Auto Exchange,97074,4.5,15,18885
Audi Q7 3.0T S line Prestige,2014,7,Star Auto Works,87451,4.6,52,23500
Audi S5 3.0T Premium Plus quattro,2013,8,Auto's of Chicago,81526,4.6,52,23399
Audi A8 3.0T quattro,2013,8,Auto's of Chicago,44023,4.8,29,26895
Audi A6 3.2 quattro,2008,13,Maus Motors,97074,4.6,52,6995
Audi A8 3.0T quattro,2013,8,Greater Chicago Motors,87431,4.2,116,23995
Audi A3 1.8T Premium,2016,5,Haus of Imports,97074,4.2,116,13995
Audi A6 3.0T Premium Plus quattro,2014,7,Haus of Imports,97074,4.6,22,14400
Audi S7 4.0T quattro,2015,6,Guaranteed Motor Cars,97074,4.6,49,33900
Audi S5 3.0T Premium Plus quattro,2013,8,Guaranteed Motor Cars,71604,4.7,1943,25900
Audi A8 L 3.0T,2015,6,Affinity Auto Sales,47674,4.2,5,32995
Audi Q5 2.0T Premium Plus,2014,7,Guaranteed Motor Cars,70373,4.5,44,21900
Audi S6 4.0T Prestige,2013,8,Lux Cars Chicago,86559,4.7,636,27945
Audi TT 2.0T,2008,13,Car City Inc,97074,4.3,1943,12990
Audi Q7 3.6,2009,12,Car City Inc,84517,4.3,1943,15890
Audi A4 2.0T Cabriolet quattro,2008,13,"Premium Auto Sales, Inc.",85350,4.3,1943,12900
Audi A6 3.0T Prestige quattro,2010,11,Excalibur Auto Sales,97074,4.3,1943,11777
Audi S3 2.0T Premium Plus,2016,5,Mercedes Benz of Hoffman Estates,74911,4.3,1943,26499
Audi TT RS 2.5T,2018,3,Gold Coast Motors,30998,4.5,55,52999
Audi Q7 3.0T Premium Plus,2017,4,Audi Hoffman Estates,47285,4.2,71,41980
Audi A4 2.0T Premium quattro,2012,9,Autosport,80267,4.5,55,13951
Audi Q5 3.2 Premium Plus,2010,11,Luxury Car Outlet,77418,4.5,55,16995
Audi A4 Season of Audi Premium,2017,4,Silver Auto Sales Inc.,86785,4.2,55,22494
Audi A4 2.0T Premium Plus quattro,2014,7,Conway Imports,97074,4.2,55,15995
Audi A6 2.0T Premium Plus,2016,5,Porsche Downtown Chicago,34949,4.6,322,27402
Audi A7 3.0T Prestige quattro,2014,7,Carvana-Touchless Delivery To Your Home,28680,4.1,34,37590
Audi A6 2.0T Premium,2018,3,Carvana-Touchless Delivery To Your Home,59491,4.7,156,28590
Audi Q7 3.0 TDI Premium,2014,7,Carvana-Touchless Delivery To Your Home,81257,4.7,139,25590
Audi A6 3.0T Premium Plus quattro,2013,8,Carvana-Touchless Delivery To Your Home,82194,4.2,71,19990
Audi A4 2.0T Premium Plus quattro,2012,9,United Auto Exchange,97074,4.5,55,13485
Audi A4 2.0T Prestige,2013,8,Your Choice Auto Sales of Posen,97074,4.5,55,13999
Audi Q5 Premium Plus,2011,10,United Auto Exchange,97074,4.6,634,13895
Audi A4 2.0T Premium Plus quattro,2014,7,United Auto Exchange,97074,4.5,67,16895
Audi Q5 2.0T Premium Plus,2014,7,Auto Showcase of Carol Stream,45577,4.6,52,23995
Audi TT 3.2 Cabriolet quattro,2008,13,Auto Showcase of Carol Stream,57211,4.1,60,21995
Audi A8 L 4.2 quattro,2012,9,Highline Auto Sales,47842,4.2,361,27995
Audi A3 2.0T Premium,2012,9,Rt. 34 Motorsports,91062,4.8,870,9888
Audi A4 2.0T Premium,2014,7,Luxury Auto Selection,55075,4.8,1,17985
Audi A5 2.0T Premium Plus,2013,8,Driven Auto Sales,92876,4.5,55,17980
Audi A4 2.0T Premium Plus,2015,6,Ultimate Motor Cars,74765,4.8,870,18500
Audi A5 2.0T Premium,2010,11,United Auto Exchange,97074,4.4,473,12995
Audi S5 3.0T Prestige,2018,3,Greater Chicago Motors,49649,4.6,1074,41995
Audi S4 3.0T Premium Plus,2014,7,Adam Auto Group,97074,4.7,1943,20885
Audi A5 2.0T Premium Plus,2013,8,Guaranteed Motor Cars,74437,4.2,55,24900
Audi S5 4.2 Premium Plus quattro,2011,10,Coda Motors,97074,4.8,630,16990
Audi Q7 55 Prestige,2019,2,Audi Morton Grove,48335,4.6,634,52999
